UID,Order No,category,marginType,margin,leverage,openPrice,closePrice,direction,stopLossPrice,takeProfitPrice,closeType,orderType,openTime(UTC+8),closeTime(UTC+8),fundingFee,fees,Realized PNL
25657330,1.52085E+18,NCFXGBP2USD-USDT,USDT,4,20,1.34806,1.35,short,1.35224,1.33478,Take profit/ Stop loss,Autonomous Orders,23/12/2025 09:41,24/12/2025 05:52,0,0.036,-0.24800416
25657330,1.51817E+18,NCCOOILWTI2USD-USDT,USDT,4,50,5662.2,"5,633.50",long,5633.5,5707.8,Take profit/ Stop loss,Autonomous Orders,16/12/2025 00:07,16/12/2025 00:38,0,0.09,-1.01388254
25657330,1.51672E+18,NCFXGBP2USD-USDT,USDT,4,20,1.3432,1.34,short,1.34312,1.33924,manual close,Autonomous Orders,11/12/2025 23:58,12/12/2025 02:13,0.008,0.036,0.07504969
25657330,1.51676E+18,NCFXEUR2USD-USDT,USDT,4,20,1.17548,1.17,long,1.17315,1.17992,Take profit/ Stop loss,Autonomous Orders,12/12/2025 02:32,12/12/2025 12:16,-0.01017698,0.036,-0.1585774
25657330,1.51696E+18,XAU-USDT,USDT,4,50,4291.47,"4,305.04",short,4305.04,4279.08,Take profit/ Stop loss,Autonomous Orders,12/12/2025 16:05,12/12/2025 16:49,0,0.09,-0.632416
25657330,1.51699E+18,XAU-USDT,USDT,4,50,4317.77,"4,331.25",short,4331.25,4305.29,Take profit/ Stop loss,Autonomous Orders,12/12/2025 17:54,12/12/2025 19:02,0,0.09,-0.62436089
25657330,1.51642E+18,NCFXEUR2USD-USDT,USDT,4,20,1.16923,1.17,short,1.17287,1.16583,Take profit/ Stop loss,Autonomous Orders,11/12/2025 04:09,11/12/2025 21:42,0.02180968,0.036,-0.24896103
25657330,1.51665E+18,NCFXEUR2USD-USDT,USDT,4,20,1.17093,1.17,short,1.17457,1.16573,Take profit/ Stop loss,Autonomous Orders,11/12/2025 19:04,11/12/2025 22:24,0,0.036,-0.2486912
25657330,1.51199E+18,XAU-USDT,USDT,4,50,4200.1,"4,229.85",short,4223.64,4100.03,Take profit/ Stop loss,Autonomous Orders,28/11/2025 22:38,01/12/2025 07:01,0.1064241,0.09,-1.41629134
25657330,1.51205E+18,XAU-USDT,USDT,6,50,4224.94,"4,229.85",short,4224.19,3959.4,Take profit/ Stop loss,Autonomous Orders,29/11/2025 02:32,01/12/2025 07:01,0.18963617,0.135,-0.34873175
25657330,1.5113E+18,NCFXEUR2USD-USDT,USDT,4,20,1.15901,1.16,short,1.16099,1.15301,Take profit/ Stop loss,Autonomous Orders,27/11/2025 01:09,27/11/2025 09:49,0.0099535,0.036,-0.13663744
